"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","target_theo_logP","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP011603",1,386.024964477695,29.5268193972389,28.1264848124746,32.2548538371237,1443.10135372091,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+Na]+",-0.0222545603047593,57.647249370727,-3.93,"pos","1.1",386.047219038,"C10H14N5O8PNa",7,0,0,0,0,0,0,203.698959480761,1
"CP011794",1,386.045663667377,37.9695997095982,32.9243369826896,40.0947077029779,2074.2621107774,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+Na]+",-0.00155537062278199,4.02896471229053,-3.93,"pos","1.1",386.047219038,"C10H14N5O8PNa",9,4,5,0.673441262899019,1,0,0,308.825933713661,1
"CP011874",1,364.065478654431,37.9695997095982,31.5695762471605,45.4473377116586,48925.805290334,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M+H]+",0.000203616431349474,0.55928550540345,-3.93,"pos","1.1",364.065275038,"C10H15N5O8P",9,1,6,0.970813270133219,2,1,1,308.825933713661,1
"CP104484",2,362.050837698812,37.9983076147803,30.796356799846,56.0172388394311,453949.555029134,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M-H]-",0.000114660811732392,0.316698198446513,-3.93,"neg","1.1",362.050723038,"C10H13N5O8P",4,2,4,0.973234913080637,13,1,1,268.426549104402,1
"CP104485",2,362.050229377953,27.8398209529476,25.7176487223716,30.796356799846,71786.6469604979,"guanosine 5'-monophosphate","CHEBI:17345","RQFCJASXJCIDSX-UUOKFMHZSA-N","C10H14N5O8P",363.057999038,"[M-H]-",-0.000493660046856803,1.36351073328747,-3.93,"neg","1.1",362.050723038,"C10H13N5O8P",5,1,4,0.972889291269003,7,1,1,124.053157733704,1
"CP011701",1,291.034615681637,31.5695762471605,29.5268193972389,38.7188072973931,2365.29708931375,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M+Na]+",-0.00975331036283933,33.5114209445757,-2.596,"pos","1.1",291.044368992,"C8H16N2O4S2Na",4,0,0,0,4,1,0,233.178097224097,1
"CP011802",1,269.062460236957,25.918995913118,23.137795913102,28.8380188441886,205495.374459942,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M+H]+",3.52449568481461e-05,0.130991746057422,-2.596,"pos","1.1",269.062424992,"C8H17N2O4S2",7,1,6,0.965352048342877,8,1,1,0,1
"CP103081",2,267.047045718618,26.5226487223796,24.2864487223436,30.0727135462018,67683.3393921963,"homocystine","CHEBI:17485","ZTVZLYBCZNMWCF-UHFFFAOYSA-N","C8H16N2O4S2",268.055148992,"[M-H]-",-0.00082727338156019,3.09784673546144,-2.596,"neg","1.1",267.047872992,"C8H15N2O4S2",4,1,5,0.967173055577754,5,0,0,0,1
"CP011623",1,198.084979119199,23.848795913102,19.701595913102,25.918995913118,9307.07184205548,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",6.78431987068961e-05,0.342495540270442,-3.909,"pos","1.1",198.084911276,"C6H13N3O3Na",8,3,3,0.977517668708904,4,1,1,0,1
"CP011725",1,198.055648213299,36.5464803708595,34.4003497856829,38.7188072973931,916.183343862687,"L-citrulline","CHEBI:16349","RHGKLRLOHDJJDR-BYPYZUCNSA-N","C6H13N3O3",175.095691276,"[M+Na]+",-0.029263062701375,147.729892766045,-3.909,"pos","1.1",198.084911276,"C6H13N3O3Na",4,2,1,0.92046120464824,0,0,0,301.728081650123,2
"CP011420",1,120.065084104063,24.590595913106,22.431795913106,28.8380188441886,2617.50287434804,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",-0.000435043936434454,3.62338779294492,-3.598,"pos","1.1",120.065519147999,"C4H10NO3",8,2,2,0.988025948352491,2,2,1,0,1
"CP012025",1,120.075641241964,103.116036585498,100.388842431155,109.843946380147,1385.60991023916,"L-homoserine","CHEBI:15699","UKAUYVFTDYCKQA-VKHMYHEASA-N","C4H9NO3",119.058243147999,"[M+H]+",0.0101220939650233,84.3047532451533,-3.598,"pos","1.1",120.065519147999,"C4H10NO3",1,0,0,0,1,0,0,454.758358845967,2
"CP011383",1,169.094382037773,22.431795913106,21.006795913142,24.590595913106,1800.78503068716,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.000365650226655134,2.16239848756156,-2.949,"pos","1.1",169.094747688,"C6H14N2O2Na",6,4,3,0.981195834810204,2,0,0,0,1
"CP011558",1,147.112309079306,22.431795913106,19.701595913102,25.918995913118,3245.33701983316,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.000494608693799137,3.36210500649633,-2.949,"pos","1.1",147.112803688,"C6H15N2O2",6,4,2,0.98367649837268,3,1,1,0,1
"CP011559",1,147.112181169831,28.8380188441886,25.918995913118,31.5695762471605,1977.23438407813,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.000622518168768238,4.23157028594525,-2.949,"pos","1.1",147.112803688,"C6H15N2O2",5,2,2,0.982872674359575,1,1,1,165.879198750978,1
"CP012075",1,147.098058185535,103.116036585498,99.002902309933,111.008850373651,7810.25824489442,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+H]+",-0.0147455024645637,100.23262486273,-2.949,"pos","1.1",147.112803688,"C6H15N2O2",0,0,0,0,8,0,0,454.758358845967,2
"CP012161",1,169.085512885665,204.97556448136,202.445955086029,206.948515182052,876.195298359099,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.00923480233518603,54.6131826177437,-2.949,"pos","1.1",169.094747688,"C6H14N2O2Na",1,0,0,0,1,0,0,578.449078980592,3
"CP012174",1,169.085364542568,222.414182419711,220.374612287816,225.00852844673,439.295934543524,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M+Na]+",-0.00938314543196839,55.4904605865193,-2.949,"pos","1.1",169.094747688,"C6H14N2O2Na",3,0,0,0,2,0,0,600.229116792475,4
