"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP011924",1,175.085777172104,40.811684147081,37.9796958131037,45.4569203203987,3274.84141850412,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",0.0144443721042364,82.5056385487027,"pos","1.1",175.0713328,"C6H11N2O4",1,0,0,0,3,0,0,323.000918439268,1
"CP012142",1,175.08938719621,103.121806869103,100.394778577607,109.128496949356,1985.86050823385,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",0.0180543962104025,103.125942560954,"pos","1.1",175.0713328,"C6H11N2O4",1,0,0,0,3,0,0,454.76510085539,2
"CP013095",1,175.111073506679,474.560980626314,472.529388102483,476.713805577549,607.657036364695,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M+H]+",0.0397407066794528,226.997224753251,"pos","1.1",175.0713328,"C6H11N2O4",4,0,0,0,1,0,0,1513.07389097129,3
"CP104027",2,173.056382968541,35.898282021586,30.0901655869939,40.0569517444161,142940.575624609,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M-H]-",-0.000397831458656128,2.29884929568809,"neg","1.1",173.0567808,"C6H9N2O4",3,1,6,0.979414150182566,10,0,0,252.585668111744,1
"CP104028",2,173.056250989651,27.8575123061385,26.5403944569309,30.0901655869939,58915.6737608078,"N-alpha-acetyl-L-asparagine","CHEBI:139582","HXFOXFJUNFFYMO-BYPYZUCNSA-N","C6H10N2O4",174.0640568,"[M-H]-",-0.000529810348695037,3.06148274714143,"neg","1.1",173.0567808,"C6H9N2O4",3,1,4,0.98917812310246,6,0,0,125.28901894156,1
"CP011633",1,211.105006089673,28.1372670876281,25.9298284151639,33.5987051432036,17112.7017226875,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",-0.000306282327073859,1.4508508745348,"pos","1.1",211.105312372,"C8H16N2O3Na",8,2,3,0.985760204373703,3,0,0,110.593064111095,1
"CP011798",1,189.123155108951,27.4382284151879,25.3566284151839,34.4106880405516,63323.3466182152,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+H]+",-0.000213263048976842,1.12763986181422,"pos","1.1",189.123368372,"C8H17N2O3",10,1,6,0.983593225806159,10,2,1,0,1
"CP011810",1,211.068296698869,35.1654299441004,32.9347821074787,37.9796958131037,1036.6522684156,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",-0.0370156731312932,175.342215292365,"pos","1.1",211.105312372,"C8H16N2O3Na",1,0,0,0,2,0,0,285.070061968235,1
"CP012168",1,211.131282783805,103.121806869103,99.0089284129504,112.14099970244,17521.7034893705,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",0.0259704118049342,123.021119237257,"pos","1.1",211.105312372,"C8H16N2O3Na",0,0,0,0,8,0,0,454.76510085539,2
"CP013024",1,211.108708801566,451.106916391522,449.741149468749,453.68988367591,1055.6478274058,"N(6)-acetyl-L-lysine","CHEBI:17752","DTERQYGMUDWYAZ-ZETCQYMHSA-N","C8H16N2O3",188.116092372,"[M+Na]+",0.00339642956637931,16.0887924998983,"pos","1.1",211.105312372,"C8H16N2O3Na",2,0,3,0.804040816901051,1,1,0,1418.29645981022,3
