"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP062116",91.0532554601133,91.0540141613956,186.164971801664,192.408302969966,892.603534273133,"(S)-lactic acid","CHEBI:422","JVTAAEKCZFNVCJ-REOHCLBHSA-N","C3H6O3",90.0316940519999,"[M+H]+","2_9",1,0,0,0,1,0,0,"559.003139852114",3,188.152154153025,91.053520421437,1
"CP061658",91.0536737006247,91.0538840909449,47.775866630251,63.8299827486811,12367.0072774505,"(S)-lactic acid","CHEBI:422","JVTAAEKCZFNVCJ-REOHCLBHSA-N","C3H6O3",90.0316940519999,"[M+H]+","2_9",1,0,0,0,1,0,0,"385.744911602918",4,52.4693965554493,91.0537391274247,1
"CP179045|CP178717|CP179068|CP179069",205.035407019192,205.03603699898,329.549790311696,346.550553312851,27184.6137888202,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M-H]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-","3_3",4,5,2,0.409468094777447,4,1,1,"939.091594378227|939.091594378227|976.364472368861|942.127460585276",1,334.846263018469,239.516231499837,4
"CP075452|CP075481",207.04921773167,207.049451103477,329.506352922974,334.428280686012,3552.69319935454,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M+H]+|[M+Na]+","3_3",2,6,1,0.412533957240852,6,0,0,"935.441708537757|935.441708537757",2,331.656394692192,218.038010846796,2
"CP179066|CP178706",250.994334860457,250.995563607616,324.734381613735,331.496020606948,2316.10474594522,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M+CHO2]-|[M-H]-","3_3",2,0,0,0,0,0,0,"923.271027529941|926.082331625866",3,328.467417812657,227.992286944076,2
"CP179067|CP179076",250.9933776673,250.995960846334,346.550553312851,354.981983553903,2427.04681991264,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M+CHO2]-|[M+CHO2]-","3_3",2,0,0,0,1,0,0,"1013.58996568016|1019.16761395159",4,352.15308192051,251.043058561244,2
"CP180892|CP180893",205.007772961926,205.011027919325,603.737584699475,615.340764700421,1165.41006531151,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M-H]-|[M-H]-","3_3",2,0,0,0,0,0,0,"0|0",5,610.443139700411,205.008729889153,2
"CP180891",205.007711267553,205.009977498234,617.301014700431,627.082264700426,2236.95700822376,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M-H]-","3_3",1,0,0,0,0,0,0,"0",6,622.452514700411,205.008639516537,1
"CP178705",204.988663005273,204.990266600188,302.315812193052,311.266470021606,9272.48103240344,"(S)-lipoic acid","CHEBI:43796","AGBQKNBQESQNJD-ZETCQYMHSA-N","C8H14O2S2",206.043521688,"[M-H]-","3_3",1,0,0,0,1,0,0,"839.282445568163",7,305.055978498778,204.989290663575,1
"CP058385",157.033565274934,157.034561339297,32.8953053362516,38.7837043367453,1052.61946829062,"(S)-malic acid","CHEBI:30797","BJEPYKJPYRNKOW-REOHCLBHSA-N","C4H6O5",134.021523292,"[M+Na]+","2_8",1,0,0,0,2,0,0,"303.535056899469",1,36.6411221801289,157.033793009897,1
