"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP645645|CP358803|CP358792",456.15697578633,456.163653814073,397.624545749427,426.171515452784,7174.6319887736,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+CHO2]-|[M+Na]+|[M+H]+","3_1",10,0,0,0,1,0,0,"1396.10639860886|1354.72631128861|1314.7477381072",6,409.814535072158,434.175229279247,3
"CP645648|CP645647|CP646200|CP646199",456.144767980309,456.233377646522,427.650958032838,443.319672834136,3812.18530068446,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M+CHO2]-|[M+CHO2]-|[M-H]-|[M-H]-","3_1",11,0,0,0,1,0,0,"1481.1059978132|1445.27039814151|1469.81255553447|1439.28098256162",7,434.734776764415,433.17118842531,4
"CP647281|CP646714|CP646717|CP646197|CP646201|CP646198|CP645643|CP645644|CP645642|CP646716",410.161815260265,410.189381261025,452.631218962301,495.141670262708,10346.1469292718,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-|[M+CHO2]-|[M+CHO2]-|[M-H]-|[M-H]-|[M-H]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-|[M+CHO2]-","3_1",26,5,2,0.151184106315561,4,0,0,"1701.48135651495|1711.78402456454|1671.64576941302|1643.61211254785|1547.53252143134|1601.38002898837|1600.34918582625|1572.48128293597|1547.53252143134|1643.61211254785",8,473.453299505298,437.764215159459,10
"CP647285|CP647283|CP646715|CP647282|CP647284|CP646816",410.164280449115,410.187643379867,500.39678056063,536.021787283865,3489.12631891834,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-|[M-H]-|[M+CHO2]-|[M-H]-|[M-H]-|[M+CHO2]-","3_1",21,4,2,0.251973510525935,0,0,0,"1818.80834347268|1770.44833261695|1757.0730084148|1860.01160083337|1894.98968364637|1800.28540828276",9,516.418937462908,425.512237850475,6
"CP649443|CP649447|CP649446|CP649445|CP649448|CP649450|CP649449|CP649452|CP649451",410.159360780875,410.191052819325,551.832482160096,609.695565218841,4804.93099111145,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-|[M-H]-|[M-H]-|[M-H]-|[M-H]-|[M-H]-|[M-H]-|[M-H]-|[M-H]-","3_1",28,3,3,0.253904261996783,0,0,0,"0|1994.02271034208|0|0|0|0|0|0|0",10,582.07458982828,410.183858726909,9
"CP651938|CP651936",410.156436109579,410.178245553246,681.525265688816,694.318983754341,6082.8625285916,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-|[M-H]-","3_1",2,0,0,0,2,0,0,"0|0",11,688.378772594516,410.166179353256,2
"CP651935",410.146201349511,410.177528341334,696.37814371443,706.902563771438,9775.53669127157,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-","3_1",2,0,0,0,3,0,0,"0",12,702.561247548296,410.158756972942,1
"CP651937",410.159250201163,410.174613514686,711.698839863973,719.472983082981,6738.11098363056,"(3S,5R)-fluvastatin","CHEBI:5136","FJLGEFLZQAZZCD-JUFISIKESA-N","C24H26FNO4",411.184586531999,"[M-H]-","3_1",3,0,0,0,1,0,0,"0",13,714.668859613196,410.165047834677,1
"CP125244|CP498702|CP125879|CP125167|CP498360",214.039368849555,214.089227262696,18.9339089304993,30.926334913925,6738.85107508859,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+Na]+|[M+CHO2]-|[M+H]+|[M+H]+|[M-H]-","2_10",22,1,1,0.177875421452186,0,0,0,"0|401.422649159004|0|204.44116702109|0",1,25.371506356274,204.858675673183,5
"CP499051|CP125724",236.073699240863,236.098807222349,48.3211608031659,54.9543509233386,4096.63852033927,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+CHO2]-|[M+H]+","2_10",4,0,0,0,0,0,0,"428.354217745894|290.635131708492",2,51.3006083319955,214.098743354204,2
"CP126535",214.032042349145,214.044986190772,94.2422815678868,99.721221440409,5450.89053244459,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+Na]+","2_10",2,0,0,0,0,0,0,"449.10086986215",3,97.6636095503417,214.039579747554,1
"CP126534",214.020916698553,214.040294489125,112.724252213227,118.434275545201,6395.85465314764,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+Na]+","2_10",4,0,0,0,0,0,0,"504.075282893732",4,115.463768268805,214.030938980234,1
"CP500458|CP724759|CP724737",190.05072786534,190.051681826604,137.210457430731,158.678660833849,408913.128093414,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M-H]-|[M+Na]+|[M+H]+","2_10",11,1,1,0.296459035753644,7,0,0,"552.48228360849|550.521405638503|550.521405638503",5,150.975498233175,198.724240706113,3
"CP128239",192.067969077875,192.125401496887,188.204275411629,197.589542401885,2924.50233286376,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+H]+","2_10",5,0,0,0,0,0,0,"609.480818881837",6,193.239740921095,192.100669388919,1
"CP501224|CP501273",190.038388362921,190.054270200006,238.083422546943,245.195557971372,1182.76071332113,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M-H]-|[M-H]-","2_10",1,1,1,0.444688553630466,2,0,0,"726.30571477768|733.813103265112",7,242.094567452768,190.05820447282,2
"CP501464|CP128787|CP501370|CP501495",190.02494646132,190.058443665564,251.112780621718,277.793404132888,2036.752052203,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M-H]-|[M+Na]+|[M+CHO2]-|[M+CHO2]-","2_10",10,1,1,0.222344276815233,1,0,0,"806.134894650506|779.428029109517|766.517827318228|834.752367694671",8,264.481031292527,219.082218205762,4
"CP501557",190.049758911133,190.070316072621,289.87499131016,295.127666044568,450.932032089142,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M-H]-","2_10",3,1,1,0.889377107260931,0,0,0,"886.548447168479",9,291.470821155988,190.055443652919,1
"CP501679",236.07316793624,236.103393554688,298.095566681499,307.514236171192,958.881444936507,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+CHO2]-","2_10",0,0,0,0,0,0,0,"925.356761428333",10,302.26165394786,236.088555866186,1
"CP501994",236.097991164328,236.109789864723,351.820488747208,357.527264455724,12382.3727160227,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+CHO2]-","2_10",0,0,0,0,1,0,0,"1128.38259411735",11,354.559716771329,236.105705876225,1
"CP129932",214.023085596249,214.054978423397,461.219672043007,466.473254450951,2192.20499844847,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+Na]+","2_10",6,0,0,0,0,0,0,"1581.51150733437",12,463.961221534313,214.03632833888,1
